"Воздушная масса: Заданное значение[kg/h]","Давление заряда воздуха, фактическое[mbar]","Давление магистрали, уставка[бар]","Действительное давление в рейке[bar]","Клапан регулировки давления в рейке , активация[%]","Масса воздуха[кг/ч]","Подача активации управляющего клапана [%]","Регулятор нагнетаемого давления , активация[%]","Скорость вращения двигателя[об/мин]","Температура воздуха на впуске[degree C]","Температура двигателя[degree C]","Температура охлаждающей жидкости[degree C]","Температура топлива[degree C]"
"274.97","1701.99","929.69","929.55","47.85","341.04","55.86","22.46","2371","63.22","97.30","97","62.51"
"225.15","1363.97","342.46","348.98","34.56","190.36","42.83","92.28","1399","63.22","97.30","97","62.51"
"133.44","1246.97","322.10","302.7","34.75","152.74","42.42","94.94","1516","63.22","97.40","97","62.41"
"123.98","1186.91","318.47","320.4","34.78","138.09","42.23","94.98","1471","63.22","97.60","97","62.41"
"122.38","1169.97","358.08","379.68","35.92","133.59","41.24","94.88","1450","63.22","97.70","97","62.22"
"124.89","1212.91","390.90","405.96","35.78","138.86","41.20","94.39","1446","63.42","97.80","98","62.22"
"121.08","1195.97","332.30","326.92","35.20","134.58","41.67","92.46","1430","63.42","98","98","62.22"
"112.23","1152.94","313.77","315.88","34.75","125.05","42.26","93.68","1395","63.22","98","98","62.22"
"106.13","1116.96","311.48","311.48","34.74","117.57","42.46","94.54","1350","63.22","98.10","98","62.22"
"98.65","1088.94","308.68","302.7","34.69","109.64","42.15","94.75","1299","63.12","98","98","62.12"
"90.56","1075.94","339.69","335.7","35.62","101.24","42.03","94.98","1200","63.12","98","97","62.12"
"86.82","1058.91","348.10","351.09","35.85","96.06","43.28","94.98","1135","63.12","97.90","97","62.12"
"85.68","1058.91","316.96","318.06","34.93","94.53","41.74","94.93","1108","63.12","97.90","97","62.02"
"83.77","1062.94","381.98","360.01","37.30","101.40","41.04","93.78","1157","63.03","97.80","97","62.02"
"90.56","1105.97","337.49","340.17","35.38","98.88","41.16","94.25","1155","63.03","97.70","97","62.12"
"89.19","1105.97","365.16","340.17","36.41","100.79","40.80","94.21","1205","63.03","97.70","97","62.12"
"94.22","1130.97","406.47","417.09","37.17","103.76","40.55","94.98","1183","62.83","97.70","97","62.12"
"107.35","1199.91","596.17","621.65","41.22","121.39","40.18","94.98","1286","63.03","97.60","97","62.22"
"122.76","1277","605.69","564.48","41.54","142.75","39.98","94.98","1358","62.83","97.60","97","62.22"
"134.74","1342.91","623.76","634.88","41.65","156.25","40.03","94.98","1450","62.83","97.50","97","62.22"
"148.7","1398.95","643.87","639.19","42.11","175.48","39.61","94.98","1531","62.73","97.40","97","62.22"
"165.33","1468.98","687.08","685.38","43.00","195.16","39.34","94.98","1623","62.53","97.30","97","62.41"
